Geography,Canada,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia,Yukon,Northwest Territories 5,Nunavut 5,Notes
Q3 2021,"38,239,864","527,056","162,133","999,908","790,802","8,572,020","14,842,488","1,391,924","1,167,711","4,431,531","5,226,665","42,961","44,579","40,086",
Q4 2021,"38,460,257","528,342","163,580","1,006,562","795,691","8,604,508","14,947,417","1,396,656","1,168,934","4,451,129","5,269,491","43,129","44,573","40,245",
Q1 2022,"38,565,380","529,008","164,058","1,009,355","798,414","8,613,282","14,997,903","1,400,367","1,171,063","4,466,136","5,287,664","43,046","44,741","40,343",
Q2 2022,"38,693,009","529,054","165,396","1,013,351","801,319","8,628,480","15,051,975","1,404,837","1,173,461","4,482,503","5,313,881","43,400","44,773","40,579",
Q3 2022,"38,950,132","531,257","167,200","1,024,034","808,869","8,669,963","15,155,836","1,413,498","1,178,796","4,512,731","5,358,845","43,869","44,631","40,603",
Q4 2022,"39,284,491","533,194","168,939","1,033,146","816,420","8,718,914","15,305,369","1,424,475","1,188,295","4,560,275","5,406,059","44,169","44,559","40,677",
Q1 2023,"39,501,329","535,147","169,942","1,036,868","819,414","8,742,975","15,407,970","1,433,655","1,195,840","4,596,901","5,432,939","44,478","44,403","40,797",
Q2 2023,"39,727,297","536,635","171,736","1,043,723","824,150","8,772,140","15,495,050","1,444,049","1,201,624","4,641,615","5,466,566","44,823","44,402","40,784",
Q3 2023,"40,049,088","538,789","173,734","1,053,005","831,103","8,821,696","15,632,481","1,453,202","1,210,257","4,688,576","5,515,296","45,419","44,614","40,916",
Q4 2023,"40,467,722","541,126","176,173","1,062,825","840,130","8,882,501","15,823,956","1,462,439","1,222,152","4,752,173","5,572,694","45,898","44,566","41,089",
Q1 2024,"40,724,526","542,449","176,757","1,067,878","844,859","8,909,038","15,946,146","1,472,261","1,230,316","4,801,806","5,601,024","46,286","44,655","41,051",
Q2 2024,"40,990,297","544,318","178,022","1,074,020","850,930","8,945,468","16,046,534","1,483,553","1,238,591","4,857,695","5,638,043","46,965","45,021","41,137",
Q3 2024,"41,262,329","546,869","179,709","1,082,769","858,293","8,995,474","16,144,797","1,492,144","1,247,868","4,909,030","5,671,114","47,595","45,257","41,410",
Q4 2024,"41,494,132","548,402","180,877","1,088,273","863,841","9,038,268","16,228,152","1,500,464","1,256,983","4,957,075","5,696,852","47,939","45,520","41,486",
Q1 2025,"41,574,517","548,842","180,686","1,089,187","865,945","9,043,463","16,255,550","1,505,644","1,261,524","4,988,181","5,699,989","48,176","45,679","41,651",
Q2 2025,"41,604,555","549,456","181,289","1,091,037","867,014","9,041,123","16,256,538","1,508,031","1,264,537","5,010,078","5,699,690","48,089","45,875","41,798",
Q3 2025,"41,651,653","549,911","182,657","1,093,245","869,682","9,058,297","16,258,260","1,509,702","1,266,959","5,029,346","5,697,536","48,278","45,950","41,830",
Q4 2025,"41,575,585","549,738","182,508","1,091,857","868,630","9,058,089","16,191,372","1,507,057","1,266,234","5,040,871","5,683,201","48,261","45,848","41,919",
